cluster,long,lat,region
1,42.43862789,9.505469873,Oromia
3,37.12227002,10.77621748,Amhara
4,41.91579292,11.84522846,Afar
5,41.86573285,9.588832571,Dire Dawa
6,34.62927204,9.942939705,Benishangul
7,39.76534326,3.818791593,Somali
8,42.68133172,9.349016931,Somali
10,38.70848231,10.5709933,Amhara
11,38.71469342,9.043260347,Addis Adaba
12,38.58078231,6.981337879,SNNPR
13,34.10048025,7.709401561,Gambela
14,38.33377176,7.834238859,SNNPR
15,38.76895482,9.03392549,Addis Adaba
17,34.73900145,9.765644934,Benishangul
18,39.62172476,11.12014737,Amhara
19,38.7817378,9.007854065,Addis Adaba
20,37.80075298,6.784431038,SNNPR
21,38.26476751,5.725345711,Oromia
22,43.26234378,8.876295388,Somali
23,37.77392303,8.848275231,Oromia
24,37.79072635,11.07427568,Amhara
25,41.76131048,9.601053973,Dire Dawa
26,39.02564842,7.192884075,Oromia
27,41.87377282,9.604625437,Dire Dawa
28,42.11118719,9.313463572,Harari
29,42.11849035,9.300264235,Harari
30,41.83383065,9.536484331,Dire Dawa
31,38.71932516,9.029747604,Addis Adaba
32,38.25206947,6.217125392,SNNPR
33,43.57339866,9.191988674,Somali
34,38.96804952,6.319079059,SNNPR
35,35.61054375,10.66712125,Benishangul
36,36.10369941,10.64356447,Benishangul
37,40.5583137,10.25920465,Afar
38,38.40688565,11.28779035,Amhara
39,40.38005892,9.798696689,Afar
40,39.13152201,9.00250758,Oromia
41,37.75305308,7.42833708,SNNPR
43,41.8309406,9.594457964,Dire Dawa
44,42.13316684,9.309592467,Harari
45,39.04028277,14.19506345,Tigray
46,35.26020296,7.396504075,Gambela
47,34.59783926,8.2495639,Gambela
49,40.15963157,9.138033303,Afar
50,37.66633415,5.546951815,SNNPR
51,40.18578403,9.28220145,Afar
52,36.03327388,12.57908577,Amhara
53,37.75775861,6.876748545,SNNPR
54,38.52885575,8.091851526,SNNPR
55,40.19862543,11.0559618,Afar
56,42.11849162,9.31246687,Harari
57,42.79742024,9.370787755,Somali
58,42.12535545,9.302584404,Harari
59,38.72285905,9.001728343,Addis Adaba
60,42.11300989,9.323400466,Harari
61,38.76183938,8.971511953,Addis Adaba
62,36.62149956,8.24635512,Oromia
63,34.60146694,8.267843351,Gambela
64,42.79790433,9.335967243,Somali
65,35.23346867,10.03879702,Benishangul
66,38.96166681,12.34905089,Amhara
68,42.17095881,9.282197308,Harari
69,33.90943737,8.364913806,Gambela
70,35.86346861,9.519401079,Benishangul
71,40.16413985,8.994526179,Afar
73,37.38836432,11.58580798,Amhara
74,41.85636215,9.575073044,Dire Dawa
75,41.70209442,11.38212461,Afar
76,36.537091,7.365744,SNNPR
77,46.15479658,6.559519231,Somali
78,38.06024215,14.42158954,Tigray
79,39.69719026,12.96536857,Tigray
80,38.05477083,13.15940765,Amhara
81,38.73358586,14.12866701,Tigray
82,39.29191244,3.621391458,Somali
83,38.79427961,8.867890408,Addis Adaba
84,38.89164866,14.17560145,Tigray
85,43.54855942,5.971883465,Somali
86,37.29141795,5.918058165,SNNPR
87,36.79713102,5.487326506,SNNPR
88,35.64693771,9.863134548,Benishangul
89,39.08580005,14.43863393,Tigray
90,38.86317505,9.044998159,Addis Adaba
91,38.72890139,9.046698029,Addis Adaba
92,44.27354219,6.708449411,Somali
93,41.32141503,9.339604113,Oromia
94,39.46923464,13.49455898,Tigray
95,43.76489071,7.591527284,Somali
97,39.55931135,12.4206774,Tigray
98,38.1438521,14.15754417,Tigray
99,39.68428022,13.70959956,Tigray
100,38.71747886,9.025638047,Addis Adaba
101,41.84002894,9.6202439,Dire Dawa
102,40.1894142,10.14825402,Afar
103,39.72810161,14.422792,Tigray
104,33.8051175,8.309768802,Gambela
105,34.35956255,8.240244684,Gambela
106,34.45101674,8.211901663,Gambela
107,38.71840826,9.034230215,Addis Adaba
108,38.73300769,9.032176245,Addis Adaba
109,36.94549597,10.93445181,Amhara
110,38.73804993,8.977567236,Addis Adaba
111,41.85054279,9.588538614,Dire Dawa
112,38.75212261,9.071229871,Addis Adaba
113,37.38393431,7.112916879,SNNPR
114,34.60513836,8.241745656,Gambela
115,42.10136093,9.290219121,Harari
116,43.33489478,8.829447036,Somali
117,39.72368837,14.23104981,Afar
118,37.53448289,8.81805763,Oromia
119,35.35348636,7.645645399,SNNPR
120,38.04444968,10.98455594,Amhara
121,39.3474928,9.173618108,Amhara
122,40.29944309,8.757436665,Oromia
123,39.86272641,7.887302269,Oromia
124,35.41420129,9.837619794,Benishangul
125,39.29691072,8.712307376,Oromia
126,37.53683035,7.132512696,SNNPR
